id,nome,email,telefone,cep,data_nascimento,genero
1,Beatriz Martins Silva,beatriz.martins.silva@outlook.com,+55 (87) 99207-0143,41720-000,1982-10-21,M
2,Gabriela Correia Melo,gabriela.correia.melo@hotmail.com,+55 (71) 99337-0804,80730-000,1968-01-24,M
3,Leonardo Cardoso Cardoso,leonardo.cardoso.cardoso@outlook.com,+55 (81) 99372-9803,40010-000,2003-02-28,M
4,Thiago Moreira Araujo,thiago.moreira.araujo@empresa.com.br,+55 (73) 99451-7583,01001-000,1954-10-19,M
5,Sofia Dias Correia,sofia.dias.correia@hotmail.com,+55 (91) 99205-0496,70390-100,1996-09-10,NB
6,Carlos Campos Campos,carlos.campos.campos@outlook.com,+55 (99) 99112-3262,04001-001,1974-02-10,F
7,João Correia Oliveira,joao.correia.oliveira@hotmail.com,+55 (28) 99196-6673,68900-020,1992-09-24,NB
8,Daniel Araujo Martins,daniel.araujo.martins@gmail.com,+55 (96) 99749-8135,65900-000,1971-02-28,NB
9,Isabela Almeida Moreira,isabela.almeida.moreira@hotmail.com,+55 (16) 99658-7212,41720-000,1995-01-04,Prefiro não informar
10,Igor Campos Carvalho,igor.campos.carvalho@yahoo.com.br,+55 (53) 99469-5764,30310-030,2005-12-01,F
11,Isabela Souza Pereira,isabela.souza.pereira@gmail.com,+55 (71) 99457-0340,51020-010,2006-07-06,F
12,Natalia Santos Carvalho,natalia.santos.carvalho@outlook.com,+55 (14) 99373-7031,40100-000,1998-11-07,Prefiro não informar
13,Renato Teixeira Pereira,renato.teixeira.pereira@hotmail.com,+55 (75) 99821-1477,60110-001,1966-02-28,Prefiro não informar
14,João Ferreira Moreira,joao.ferreira.moreira@hotmail.com,+55 (17) 99540-2630,70040-010,1961-10-08,NB
15,Daniel Dias Correia,daniel.dias.correia@hotmail.com,+55 (98) 99780-8248,66010-000,1957-12-05,M
16,Paulo Campos Rodrigues,paulo.campos.rodrigues@hotmail.com,+55 (19) 99610-0789,70040-010,2005-06-08,NB
17,Vitor Almeida Dias,vitor.almeida.dias@yahoo.com.br,+55 (91) 99100-0831,52011-000,1954-01-19,F
18,Bruno Lima Teixeira,bruno.lima.teixeira@empresa.com.br,+55 (34) 99650-4632,50030-230,2006-10-18,M
19,Daniel Teixeira Ribeiro,daniel.teixeira.ribeiro@hotmail.com,+55 (38) 99370-6876,30110-012,1997-11-24,Prefiro não informar
20,Igor Moreira Campos,igor.moreira.campos@yahoo.com.br,+55 (42) 99391-7978,22290-240,1982-11-26,M
21,Luana Campos Melo,luana.campos.melo@outlook.com,+55 (32) 99420-3541,02011-000,1957-01-08,NB
22,Gustavo Oliveira Ribeiro,gustavo.oliveira.ribeiro@empresa.com.br,+55 (38) 99968-0326,20211-901,1994-07-15,M
23,Vanessa Carvalho Pereira,vanessa.carvalho.pereira@yahoo.com.br,+55 (48) 99342-3617,70833-010,1967-05-10,M
24,Leonardo Correia Barbosa,leonardo.correia.barbosa@outlook.com,+55 (33) 99817-8059,20040-020,1962-09-17,NB
